Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,5.942536874632946,5.971409320831299,5.892009975100074,5.971409320831299,237536000,0.0,0.0
2020-01-03 00:00:00-05:00,5.851687596513701,5.919638038662146,5.826797295101701,5.875831127166748,205384000,0.0,0.0
2020-01-06 00:00:00-05:00,5.782493763678408,5.905700039221264,5.756359156713934,5.900473117828369,262636000,0.0,0.0
2020-01-07 00:00:00-05:00,5.928847945646861,6.017706082693678,5.88379672631697,5.971908092498779,314856000,0.0,0.0
2020-01-08 00:00:00-05:00,5.967676998031507,6.024426839104934,5.927603932688203,5.983108997344971,277108000,0.0,0.0
2020-01-09 00:00:00-05:00,6.069477028787541,6.1212487048790996,5.995055363091682,6.048818111419678,255112000,0.0,0.0
2020-01-10 00:00:00-05:00,6.156094034922146,6.186460018886761,6.066987155003464,6.081174373626709,316296000,0.0,0.0
2020-01-13 00:00:00-05:00,6.1643088762984775,6.296973440866973,6.141658411841688,6.271834373474121,319840000,0.0,0.0
2020-01-14 00:00:00-05:00,6.229022907846783,6.254411214964361,6.141658323955984,6.154850482940674,359088000,0.0,0.0
2020-01-15 00:00:00-05:00,6.16754476983772,6.189945996094547,6.086402634683979,6.112288475036621,263104000,0.0,0.0
2020-01-16 00:00:00-05:00,6.16580181474124,6.201892728222069,6.14240505473656,6.195919036865234,284192000,0.0,0.0
2020-01-17 00:00:00-05:00,6.215085648688116,6.222552883055302,6.157091505191324,6.204631805419922,253792000,0.0,0.0
2020-01-21 00:00:00-05:00,6.168043104649625,6.2048807947316265,6.137179106871274,6.171278953552246,217916000,0.0,0.0
2020-01-22 00:00:00-05:00,6.216579239174049,6.311908605766797,6.197662625090252,6.225290775299072,239240000,0.0,0.0
2020-01-23 00:00:00-05:00,6.265362021832883,6.302199225459399,6.176503911154498,6.293736457824707,244516000,0.0,0.0
2020-01-24 00:00:00-05:00,6.409229123297355,6.459009733569713,6.180239170582056,6.234499931335449,373512000,0.0,0.0
2020-01-27 00:00:00-05:00,5.9298430881536515,6.029653066688247,5.780252977773536,5.978628158569336,470536000,0.0,0.0
2020-01-28 00:00:00-05:00,6.044587545294466,6.204382745108837,5.991322320441981,6.172025680541992,310976000,0.0,0.0
2020-01-29 00:00:00-05:00,6.157588979316764,6.193679896862206,6.071717453105673,6.111542224884033,258848000,0.0,0.0
2020-01-30 00:00:00-05:00,6.0137238599092555,6.131703694762876,5.958716799815882,6.118262767791748,290504000,0.0,0.0
2020-01-31 00:00:00-05:00,6.07246444119071,6.084411825677321,5.842976956920806,5.884792327880859,370420000,0.0,0.0
2020-02-03 00:00:00-05:00,5.866622935364559,6.001279074420457,5.860400477267656,5.981864929199219,255564000,0.0,0.0
2020-02-04 00:00:00-05:00,6.123737467710801,6.170282220731472,6.073708101084006,6.151116371154785,271544000,0.0,0.0
2020-02-05 00:00:00-05:00,6.272083662399272,6.282288739312522,6.158086458793153,6.241468906402588,208220000,0.0,0.0
